iter	Passed	Remaining
683	1613	745
684	1616	743
685	1618	740
686	1620	738
687	1622	735
688	1624	733
689	1626	730
690	1628	728
691	1629	725
692	1635	724
693	1638	722
694	1640	719
695	1642	717
696	1643	714
697	1647	713
698	1649	710
699	1651	707
700	1653	705
701	1655	702
702	1657	700
703	1658	697
704	1662	695
705	1665	693
706	1666	690
707	1668	688
708	1670	685
709	1672	683
710	1674	680
711	1677	678
712	1678	675
713	1680	673
714	1682	670
715	1684	668
716	1685	665
717	1687	662
718	1688	660
719	1693	658
720	1695	656
721	1697	653
722	1699	651
723	1701	648
724	1702	645
725	1704	643
726	1706	640
727	1708	638
728	1710	635
729	1712	633
730	1714	630
731	1715	628
732	1717	625
733	1718	622
734	1720	620
735	1723	618
736	1726	616
737	1728	613
738	1730	611
739	1731	608
740	1733	605
741	1735	603
742	1737	600
743	1739	598
744	1741	595
745	1742	593
746	1744	590
747	1746	588
748	1747	585
749	1749	583
750	1753	581
751	1755	578
752	1756	576
753	1758	573
754	1763	572
755	1766	570
756	1768	567
757	1770	565
758	1772	562
759	1774	560
760	1775	557
761	1777	555
762	1779	552
763	1782	550
764	1785	548
765	1788	546
766	1790	543
767	1791	541
768	1792	538
769	1797	536
770	1799	534
771	1801	532
772	1803	529
773	1804	526
774	1805	524
775	1807	521
776	1809	519
777	1816	518
778	1818	515
779	1820	513
780	1821	510
781	1822	508
782	1825	505
783	1827	503
784	1829	501
785	1831	498
786	1833	496
787	1835	493
788	1836	491
789	1838	488
790	1842	486
791	1843	484
792	1846	481
793	1848	479
794	1850	477
795	1856	475
796	1860	473
797	1862	471
798	1864	468
799	1865	466
800	1867	463
801	1869	461
802	1871	459
803	1873	456
804	1874	454
805	1876	451
806	1878	449
807	1879	446
808	1881	444
809	1883	441
810	1886	439
811	1888	437
812	1890	434
813	1892	432
814	1893	429
815	1895	427
816	1896	424
817	1898	422
818	1900	420
819	1904	417
820	1905	415
821	1907	413
822	1909	410
823	1910	408
824	1912	405
825	1914	403
826	1916	400
827	1919	398
828	1921	396
829	1922	393
830	1924	391
831	1926	388
832	1933	387
833	1936	385
834	1938	383
835	1939	380
836	1941	378
837	1943	375
838	1946	373
839	1948	371
840	1950	368
841	1951	366
842	1953	363
843	1954	361
844	1956	358
845	1959	356
846	1962	354
847	1963	352
848	1966	349
849	1968	347
850	1969	344
851	1970	342
852	1971	339
853	1976	337
854	1978	335
855	1982	333
856	1983	331
857	1985	328
858	1987	326
859	1989	323
860	1992	321
861	1993	319
862	1996	316
863	1997	314
864	1999	312
865	2000	309
866	2002	307
867	2005	305
868	2008	302
869	2011	300
870	2013	298
871	2014	295
872	2016	293
873	2017	290
874	2019	288
875	2023	286
876	2026	284
877	2028	281
878	2030	279
879	2031	277
880	2035	275
881	2038	272
882	2040	270
883	2041	267
884	2043	265
885	2044	263
886	2046	260
887	2048	258
888	2052	256
889	2054	253
890	2056	251
891	2058	249
892	2060	246
893	2061	244
894	2064	242
895	2065	239
